,Row ID,Order ID,Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
149,129815,129815,2014-08-07,2014-08-07,1,LOW501,LOWE'S COMPANIES INC.,DETI,US,NORTH WILKESBORO,,28659,P.O. BOX 1941,DB03120,SBI,DB03120,ESCAPE 1400 ENCASTRABLE À BOIS,1025.24,1,-4.0,409
151,194019,194019,2016-12-15,2016-12-15,1,COS600,COSTCO WHOLESALE,DETI,US,SEATTLE,,98124-1340,P.O. BOX 34340,DB03122K,SBI,DB03122K,ESCAPE 1400-I ENCASTRABLE À BOIS TRIO,1151.03,1,0.0,591
194,167906,167906,2016-02-25,2016-02-25,1,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,VOLKAUS-625,SBI,VOLKAUS-625,"ENSEMBLE DE GAINE FLEX INOX VORTEX 6"" (25')",2580.66,12,0.0,0
419,272521,272521,2019-06-17,2019-06-17,3,MID200-MATTOON,MID-STATES MATTOON,DETI,US,ST.PAUL,,55164-0537,VENDOR # 233125,Y00006,SBI,Y00006,RECLAMATION DROLET BOIS,1064.5,1,0.0,0
4760,206148,206148,2017-07-05,2017-07-05,2,EMP100,VENTE AUX EMPLOYÉS,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,,G3A 2H3,"250, rue de COPENHAGUE",Vente h. inventaire,SBI,Vente h. inventaire,Produit divers,1395.4,10,0.0,0
4881,272521,272521,2019-06-17,2019-06-17,3,MID200-MATTOON,MID-STATES MATTOON,DETI,US,ST.PAUL,,55164-0537,VENDOR # 233125,Y00007,SBI,Y00007,RECLAMATION DROLET GRANULES,1829.5,1,0.0,0
19968,259014,259014,2019-03-14,2019-03-14,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,PL68009,SBI,PL68009,DESSUS DE CHEMISE ZC KIT,1674.55,21,0.0,14
30807,126656,126656,2014-06-10,2014-06-10,1,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01250,SBI,AC01250,REVÊTEMENT DE PORTE NOIR,1791.86,40,0.0,29
32170,180520,180520,2016-07-05,2016-07-05,2,MFP001,MY FIREPLACE PRODUCTS/MES PRODUITS DE FOYER INC.,DETI,CA,ST-AUGUSTIN-DE-DESMAURES,QUEBEC,G3A 2H3,"250, RUE DE COPENHAGUE",AC02730,SBI,AC02730,WOHLER VIS 400 SYSTÈME D'INSPECTION VIDÉO 4152,7100.0,1,0.0,0
36507,238961,238961,2018-09-07,2018-09-07,3,MFA600,MY FIREPLACE AUSTRALIA LTD,DETI,AU,PAKENHAM,,3810,FACTORY 2/5-7 HOGAN COURT,AC01651,SBI,AC01651,FAÇADE EN ACIER INOXYDABLE DÉCO,1095.96,10,0.0,39
